2736,Estate,18,9,Merlot,Midnight
2741,Marchesale,70,6,Syrah,Terre del Marchesato
2744,I Campacci,25,6,Red Blend,Tenuta di Trecciano
2747,Locorosso,15,6,Sangiovese,Pratesi
2750,Estate,30,9,Chardonnay,Willamette Valley Vineyards
2753,Zardoz,25,41,Cabernet Sauvignon,Indomita
2757,Piesporter Goldtröpfchen Spätlese,17,19,Riesling,Leonard Kreusch
2758,Rous Vineyard Reserve Ancient Vines,30,9,Zinfandel,Ironstone
6117,Lot #11,16,9,Merlot,Tangley Oaks
2763,Temperance Hill Vineyard,45,9,Pinot Noir,Lumos
2765,Edom,40,44,Bordeaux-style Red Blend,Psagot
2766,Apartado Gran,100,28,Malbec,Rutini
2767,Zenith Vineyard,36,9,Pinot Noir,Sineann
2769,Novitiate Late Harvest,27,9,Syrah,Testarossa
2786,Bernkasteler alte Badstube am Doctorberg Kabinett,28,19,Riesling,Dr. Heidemanns-Bergweiler
2788,Estate,35,9,Grenache,Folin Cellars
2789,Ayler  Kupp Spätlese,29,19,Riesling,Bischöfliche Weingüter Trier
2791,Johannisberg Wallhausen Trocken GG,68,19,Riesling,Prinz Salm
2793,Vial,25,6,Pinot Bianco,Kellerei Kaltern Caldaro
2796,Vom Binger Bergrücken Ortswein Trocken,40,19,Riesling,Prinz Salm
2798,Nocturne Sec,82,42,Champagne Blend,Taittinger
2807,Pimenta Preta,12,24,Portuguese Red,Herdade de São Miguel
2811,I Sodi di San Niccolò,70,6,Red Blend,Castellare di Castellina
2814,Malterdinger Bienenberg R GG Erste Lage,110,19,Spätburgunder,Huber
2815,Essence,13,19,Riesling,S.A. Prüm
2818,Vieilles Vignes,100,42,Pinot Noir,Domaine de Bellene
2819,Le Beauregard Premier Cru,31,42,Pinot Noir,Domaine Vincent Girardin
2820,Dundee Hills,38,9,Pinot Noir,Sokol Blosser
2823,Rosenberg,26,42,Pinot Blanc,Domaine Barmès-Buecher
2825,Barriques,27,42,Pinot Blanc,Domaine Ostertag
2827,Ruby,11,24,Port,Sandeman
2829,Premier Cru,36,42,Chardonnay,Chanson Père et Fils
2834,Domaine Adélie Les Champs-Michaux,36,42,Chardonnay,Albert Bichot
2839,Domaine Danielle Laurent,55,9,Pinot Noir,Soléna
2844,More Maiorum,17,6,Fiano,Mastroberardino
2845,Bailey,38,9,Zinfandel,Peachy Canyon
2851,Trois Châteaux,32,42,Riesling,Kuentz-Bas
2852,Marea,25,41,Pinot Noir,Luis Felipe Edwards
2858,Estate Bottled Unoaked T23,20,9,Cabernet Franc,Lamoreaux Landing
2862,Hampton Vineyard,35,9,Syrah,Epiphany
2863,Catalina,50,41,Red Blend,Santa Ema
2864,Tonella Vineyard,90,9,Cabernet Sauvignon,Sequoia Grove
2866,Zaca Mesa Vineyards,16,9,Chardonnay,Zaca Mesa
2870,Bernardot,93,6,Nebbiolo,Ceretto
2874,Harman Vineyard,35,9,Chardonnay,Clos La Chance
2880,Estate Bottled,25,9,Chardonnay,Foppiano
2888,La Umbra,9,14,Cabernet Sauvignon,Cramele Halewood
2892,Portillo Estate Bottled,11,28,Cabernet Sauvignon,Salentein
2899,V,13,24,Verdelho,Herdade do Esporão
2900,Colecção Privada,19,24,Moscatel Roxo,José Maria da Fonseca
2911,Rincon Vineyard,44,9,Chardonnay,Talley
2913,The Octavius Old Vine,120,18,Shiraz,Yalumba
2916,Lieu-dit Kugelberg,28,42,Pinot Noir,Cave de Ribeauvillé
2917,Bien Nacido Vineyard,40,9,Chardonnay,Byron
2918,La Encantada Vineyard,55,9,Pinot Noir,Byron
2929,Burlenberg,36,42,Red Blend,Domaine Marcel Deiss
2930,Alsace,24,42,Alsace white blend,Domaine Marcel Deiss
2931,Clos Saint-Théobald Grand Cru Rangen Vendanges Tardives,72,42,Pinot Gris,Domaine Schoffit
2932,Clos Saint-Théobald Grand Cru Rangen,45,42,Muscat,Domaine Schoffit
2934,Year of the Horse Single Vineyard Reserve,90,9,Pinot Noir,Donum
2936,McDougall Vineyard,62,9,Pinot Noir,Dutton-Goldfield
2939,WCS,75,9,Red Blend,Jada Vineyard & Winery
2940,Maresh Vineyard,60,9,Pinot Noir,Kelley Fox
2941,Canary Hill Vineyard,63,9,Pinot Noir,Ken Wright
2942,Tanager Vineyard,63,9,Pinot Noir,Ken Wright
2943,3 Generations,20,9,Riesling,Lakewood
2947,Una Notte,30,9,Rhône-style Red Blend,:Nota Bene
2963,Castello di Brolio,44,6,Red Blend,Barone Ricasoli
2970,Traditions,27,9,Merlot,Belhurst
2972,Superieur,65,44,Cabernet Sauvignon,Barkan
2974,Soberanes Vineyard,40,9,Chardonnay,Bernardus
2978,Bernkasteler alte Badstube am Doctorberg Kabinett,28,19,Riesling,Dr. Heidemanns-Bergweiler
2980,Estate,35,9,Grenache,Folin Cellars
2987,Vila Santa Reserva,20,24,Portuguese Red,J. Portugal Ramos
2989,Coro Mendocino,40,9,Red Blend,McFadden
2990,Omira Hills,10,9,Merlot,Montevina
2991,Cuis Premier Cru Blanc de Blancs Brut,50,42,Chardonnay,Pierre Gimonnet et Fils
2996,Telhas,30,24,Viognier,Terras de Alter
3004,Klaus Federspiel,25,17,Grüner Veltliner,Jäger
3005,Mountain Blocks Rosé of,24,9,Pinot Noir,King Estate
3007,Truffle Hill,42,9,Pinot Noir,Left Coast Cellars
3010,G 17,22,9,Syrah,Morgan
3012,Brosseau Vineyard,65,9,Pinot Noir,Testarossa
3013,Treehouse Estate,18,9,Pinot Gris,Vista Hills
3015,Terroir Los Miradores,30,28,Malbec,Luigi Bosca
